Model,Best Search Method,Accuracy,Recall,Sensitivity,Specificity,Precision,F1-Score,ROC-AUC,MAE,Train_Accuracy,Overfitting,Underfitting,Weighted_Score
GaussianNB,BayesSearch,0.5901437371663244,0.6712239583333334,0.6712239583333334,0.45161290322580644,0.676509186351706,0.6738562091503268,0.56141843077957,0.40985626283367554,0.5986240887154739,No,Yes,0.9120041019880175
XGBoost,GridSearch,0.6308008213552362,1.0,1.0,0.0,0.6308008213552362,0.7736086628053387,0.5,0.36919917864476387,0.6308655919498922,No,Yes,0.8679855107561055
DecisionTree,GridSearch,0.6308008213552362,1.0,1.0,0.0,0.6308008213552362,0.7736086628053387,0.5,0.36919917864476387,0.6308655919498922,No,Yes,0.8679855107561055
RandomForest,GridSearch,0.6308008213552362,1.0,1.0,0.0,0.6308008213552362,0.7736086628053387,0.5,0.36919917864476387,0.6308655919498922,No,Yes,0.8679855107561055
KNN,BayesSearch,0.5696098562628337,0.78125,0.78125,0.20800889877641823,0.6276150627615062,0.6960556844547564,0.4946294493882092,0.43039014373716633,0.6792278468015197,Yes,Yes,0.8391618410774956
